item_id,testlet_id,window,testlet_item_id,attr_intercept,attr_maineffect,item_intercept,item_maineffect,intercept,maineffect,nm_prob,ms_prob
1,101,IE,1,-1.516995316138491,3.1878116629086435,0.8831804177196398,0.3388815438609494,-0.6338148984188512,3.526693206769593,0.34664602513610654,0.9474932613524853
2,101,IE,2,-1.516995316138491,3.1878116629086435,0.061964202885134996,0.3769715999813047,-1.455031113253356,3.5647832628899483,0.18922848016495314,0.8918474290060621
3,101,IE,3,-1.516995316138491,3.1878116629086435,0.6902901610008916,0.13050649999962805,-0.8267051551375995,3.3183181629082714,0.3043421981790796,0.9235517651247488
4,101,IE,4,-1.516995316138491,3.1878116629086435,0.02046280343551906,-2.0996066787969974,-1.496532512702972,1.0882049841116461,0.18294325683564663,0.39931321613938764
5,101,IE,5,-1.516995316138491,3.1878116629086435,0.6658023360921315,0.8846364634960882,-0.8511929800463596,4.072448126404732,0.29918266263033233,0.961626357632702
6,102,IE,1,-1.516995316138491,3.1878116629086435,-0.7203736920413812,-0.7364042580699005,-2.237369008179872,2.451407404838743,0.09644457096801326,0.5533062469659885
7,102,IE,2,-1.516995316138491,3.1878116629086435,-0.17498801435320113,-1.9695172227974416,-1.6919833304916923,1.218294440111202,0.15551519090407234,0.38374350518868583
8,102,IE,3,-1.516995316138491,3.1878116629086435,0.5076023030787543,1.599230190398834,-1.0093930130597366,4.7870418533074774,0.2670986558828015,0.9776352118119764
9,103,SP,1,-1.516995316138491,3.1878116629086435,0.030350438267909327,-1.1722053879927867,-1.4866448778705816,2.0156062749158568,0.184425847020321,0.6292408417582681
10,103,SP,2,-1.516995316138491,3.1878116629086435,-0.6233572717645209,-0.1398881704436731,-2.140352587903012,3.0479234924649705,0.1052361846846588,0.7125028376217637
11,103,SP,3,-1.516995316138491,3.1878116629086435,1.2603644781442518,-0.30009627786624554,-0.25663083799423925,2.887715385042398,0.4361921024601148,0.9328355318810968
12,103,SP,4,-1.516995316138491,3.1878116629086435,-0.21393510207004018,1.5871996444026333,-1.7309304182085312,4.775011307311277,0.15046860774539858,0.9545262925985777
13,103,SP,5,-1.516995316138491,3.1878116629086435,0.5183598312378824,0.10067189319851605,-0.9986354849006086,3.2884835561071597,0.2692097858907342,0.9080327633937706
14,104,SP,1,-1.516995316138491,3.1878116629086435,0.8248932156857156,0.6567705976680422,-0.6921021004527754,3.8445822605766855,0.3335656137946225,0.9590063358646471
15,104,SP,2,-1.516995316138491,3.1878116629086435,0.5221070540360999,-0.43569539215943687,-0.9948882621023911,2.7521162707492066,0.2699476363006623,0.8528621478383498
16,104,SP,3,-1.516995316138491,3.1878116629086435,-1.4766254360053763,0.09002855750861363,-2.993620752143867,3.277840220417257,0.04771489975071603,0.5705803777965105
17,104,SP,4,-1.516995316138491,3.1878116629086435,-0.37068687491884317,-0.06776326301373997,-1.8876821910573343,3.1200483998949036,0.13150897047962307,0.774232447811122
